,building_name,building_price,building_beds,building_baths,redfin_estimates,building_location,property_type,property_size,property_story,walking_score,transit_score,bike_score,building_description,building_website
233,"""19-19 24 Ave Unit L102""","""$569,000""","""1Bed""","""1Bath""","""$562,347""","""Astoria,NY""","""Condo/Co-op""",NA,—,"""90""","""78""","""85""","""There are 3 rooms, 1 bedroom, EIK, living/dining room, and bathroom. Located inside the Pistilli co-op.""",https://www.redfin.com/NY/Astoria/1919-24th-Ave-11102/unit-L102/home/63686840
234,"""73-55 217 St Unit 362A1""","""$319,000""","""2Beds""","""1Bath""","""$317,061""","""Bayside,NY""","""Condo/Co-op""",NA,—,"""81""","""58""","""75""","""Excellent Condition: about 3 Years New Renovated.  lower Corner 2 Bedrooms COOP unit  , extra Windows in living room & master bedroom , very bright & Sunny , maintenance fee Includes all excepts Electric, also includes 2 Park Sticks. $18.75 / monthly security fee , Dogs Friendly. Sublet After 2 Years.  school district #26 , PS205/MS74, walking distance to all shops / CVS/BANK/key food /Alley pond & Cunningham Park , Bus Q27 /88/Qm5/8/35 to NYC . NO FLIP TAX !!!""",https://www.redfin.com/NY/Oakland-Gardens/73-55-217th-St-11364/unit-362A1/home/92322900
235,"""658 Correll Ave""","""$828,000""","""3Beds""","""3Baths""","""$819,510""","""Staten Island,NY""","""Townhouse""","""2,496""","""2""","""41""","""43""","""43""","""Public Remarks:  * CHECK OUT THE 3D VIRTUAL TOUR, HD PHOTOS  &  FLOOR PLANS *  WELCOME HOME TO THIS EXTRA WIDE 2 FAMILY HIGH RANCH W/ A FULL FINISHED BASEMENT INCLUDING A STORAGE ROOM UNDER GARAGE. ENTER HOME TO A WELCOMING FOYER THAT LEADS TO A FEW STEPS WHERE YOU FIND A LARGE FAMILY ROOM, SGD TO PAVED YARD W/ POOL. THERE IS A HALF BATH ADJACENT TO FAMILY ROOM. UPSTAIRS YOU WILL FIND AN OPEN CONCEPT, UPDATED KITCHEN W/ COMBINATION LIVING / DINING ROOM. HALLWAY LEADS TO MASTER BEDROOM, FULL BATHROOM  &  2 ADDT'L BEDROOMS. ACCESS TO FULL ATTIC IN HALLWAY. BASEMENT IS ENORMOUS W/ 3/4 BATH, PLUS A LARGE STORAGE ROOM UNDER GARAGE. HOME HAS ALL PELLA WINDOWS. SIDE OF HOME LEADS TO ROOMY 1 BEDROOM APT. HOME HAS ACCESS TO FAWN RIDGE DEVELOPMENT W/ POOL  &  TENNIS COURTS.""",https://www.redfin.com/NY/Staten-Island/658-Correll-Ave-10309/home/56090407
236,"""307-309 Yeman Ave""","""$749,999""",NA,NA,"""$747,760""","""Staten Island,NY""","""Multi-Family (2-4 Unit)""","""2,232""","""2""","""81""","""59""","""50""","""Public Remarks: 2 family side by side  being sold with approved plan to build two separate 2 family homes. Each hone will be 6/6 with a full finished basement.""",https://www.redfin.com/NY/Staten-Island/307-Yetman-Ave-10307/home/109611844
237,"""307-309 Yetman Ave""","""$749,999""","""3Beds""","""1Bath""","""$746,112""","""Staten Island,NY""","""Townhouse""",NA,—,"""81""","""59""","""50""","""Public Remarks: Excellent investment opportunity!  Located in Tottenville is this rental property which  is close to excellent schools, public transportation  &  shopping. 2 family side by side with 6 rooms in each unit. Each unit is a mirror image of the other and the following layout. Vestibule entryway, formal living room formal dining room, kitchen with access to private rear yard, 3 bedrooms, full bathroom full basement, attic storage, private driveway, and 1 unit has a 1 car detached garage. Each unit has separate heat  &  electric  &  tenants pay their own utilities. Landlord pays water  &  taxes. Well maintained and in good condition. Each apartment is currently rented and there is a combined rent roll of $4,600 per month. SEE MORE Weil Mclean furnaces, newer hot water tanks, updated electric, most windows were replaced, roof was ripped off 10 years ago  &  completely replaced including new plywood. Sale includes approved plans to build 2 separate fully detached, 2 family homes. Plans are approved without current requirement for green roof or solar panel, which is currently required for new building projects.""",https://www.redfin.com/NY/Staten-Island/307-Yetman-Ave-10307/unit-309/home/148243554
238,"""65-49 170th St""","""$1,399,900""","""6Beds""","""3Baths""","""$1,335,358""","""Fresh Meadows,NY""","""Multi-Family (2-4 Unit)""","""2,880""","""2""","""80""","""66""","""62""","""A Brick 3 Family Stunner and a Great Investment Opportunity in the prime Flushing section of Queen is priced right and waiting for you! Just steps to NY's top school district #26, public transport, CUNY Colleges & St. Johns University, Shopping center, grocery stores, post office, gym, tennis, and basketball courts,   playgrounds, and parks nearby. We are pleased to  present to you that has  a tremendous rent roll. The classic residence offers an inviting front courtyard, generous interiors, and a spacious backyard. The 35-foot deep house sits on a 100-foot lot. A perfect rental for great monthly income, the apartment is finished with hardwood floors each unit consists of spacious 2 Bedrooms and 1 bathroom with an immense living  room space, generous kitchen & dining  with ample closet space throughout the units. Long Term Tenants On Month To Month Tenancy. Shed Parking with 3 Car  Spots and  a long driveway.  ""A solution to all Investment problems""""",https://www.redfin.com/NY/Queens/65-49-170th-St-11365/home/20824209
239,"""111-11 178th St""","""$749,000""","""6Beds""","""3Baths""","""$739,902""","""Jamaica,NY""","""Multi-Family (2-4 Unit)""","""1,320""","""2""","""56""","""66""","""50""","""CHECK OUT THIS BEAUTIFUL 1 FAMILY HOME. FULLY RENOVATED, PRIVATE DRIVEWAY, FULL BASEMENT WITH 2 BED AND 1 BATH! CLOSE TO SHOPPING STORES AND TRANSPORTATION. YOU DO NOT WANT TO MISS IT, CALL ME TO SCHEDULE A SHOWING TODAY !""",https://www.redfin.com/NY/Jamaica/111-11-178th-St-11433/home/20751035
240,"""147 Robin Rd""","""$429,000""","""2Beds""","""2Baths""","""$425,279""","""Staten Island,NY""","""Single Family Residential""","""1,120""","""2""","""79""","""61""","""79""","""Public Remarks: 20789H-THIS 2 BEDROOM HOUSE IS A GREAT STARTER HOME LOCATED CLOSE TO VZ BRIDGE WITH A 11 YEAR OLD ROOF, 4 YEAR OLD HOT WATER TANK AND BASEBOARD HEAT. SHORT DISTANCE TO BUSES  &  BOARDWALK, BEACH AND SHOPPING. 1ST LEVEL HAS A NEWER EAT-IN-KITCHEN WITH TILES THROUGHOUT, 1/2 BATH, DINING  &  LIVING ROOM WITH SLIDERS TO YARD. 2ND LEVEL HAS BIG MASTER BEDROOM, BEDROOM AND FULL BATH PLUS UTILITY ROOM. NO HOA FEE.""",https://www.redfin.com/NY/Staten-Island/147-Robin-Rd-10305/home/56027065
241,"""Unit at 123 Third Ave""","""$1,895,000""","""2Beds""","""2Baths""",NA,"""New York,NY""","""Condo/Co-op""","""1,166""","""17""","""100""","""100""","""96""","""Best priced two bedroom condominium in the area! This two bedroom, two bathroom apartment is in perfect condition and the ceiling height is a generous 10'2"". This corner unit gets light all day from floor to ceiling windows from two exposures - north and west. A proper entry leads to a modern and open kitchen with great counter space and true top-of-the line appliances: Meile appliances, Caesarstone counters, Dornbracht fixtures and Poliform cabinets throughout. The roomy primary bedroom has wonderful light and gracious closets. An en suite marble bathroom has double sinks, a Duravit soaking tub, a spacious separate stall shower, Corian counters and a walnut vanity. The second bedroom also faces north for lovely light all day. The apartment has central heat and air-conditioning, a washer/dryer and newly updated 5"" white oak flooring. Perfectly located, this full service boutique condominium built in 2010 is composed of only 47 units. There is a 24-hour doorman, a charming landscaped garden off of the lobby level with an outdoor projector and a Viking grill, a wonderfully equipped gym, a windowed business center and cold storage. The location is tremendous - you are surrounded by Union Square, Greenwich Village and the East Village. The area offers terrific dining options, Whole Foods, Trader Joe's and the renowned Union Square Farmers Market, plus incredibly convenient transportation options. This is a LEED certified building. A 421-a tax abatement is in place through 2022. Also available for rent for $6,250/month.""",https://www.redfin.com/NY/New-York/123-3rd-Ave-10003/home/45331180
242,"""291 6 Ave""","""$3,995,000""","""7Beds""","""4Baths""","""$3,891,874""","""Brooklyn,NY""","""Multi-Family (2-4 Unit)""","""3,200""","""4""","""99""","""100""","""93""","""Park Slope Prime - This spacious, 4 story, 4 family brownstone is located in the heart of brownstone Brooklyn.  Situated on a 20' x 90' lot, this property boasts four separate apartments and a full cellar.  Unit 1 is 4 rooms, 1 bedroom, 1 bathroom with access to the rear garden. Unit 2 - 4 are 4 rooms, 2 bedrooms, 1 bath.  Only steps to shopping, transportation, and all amenities conveniently located along 5th and 7th Avenues, and Prospect Park 3 blocks away.  Delivered vacant at closing.  A must-see.  Additional photos, floor plans, and a virtual tour will be uploaded shortly.""",https://www.redfin.com/NY/Brooklyn/291-6th-Ave-11215/home/40699689
243,"""1647 W 9 St""","""$1,690,000""","""7Beds""","""3Baths""","""$1,587,328""","""Brooklyn,NY""","""Multi-Family (2-4 Unit)""","""2,480""","""2""","""94""","""98""","""64""","""3 Dwelling Brick House In Prime Location. New Renovated Of 1/F And Basement. Good Condition. 2 Parking Space At The Back. 5 Min From N Train Station. Close To Supermarkets, Restaurants And Banks.""",https://www.redfin.com/NY/Brooklyn/1647-W-9th-St-11223/home/40838705
244,"""171-19 119 Rd""","""$458,000""","""2Beds""","""2Baths""","""$454,757""","""Jamaica,NY""","""Single Family Residential""","""946""","""1""","""75""","""69""","""52""","""Looking for a 1-Family brick home with a basement, you must consider viewing this 5 room house featuring a Large Living Room, Dining Room, Kitchen, 2 Bedrooms, and 1 Full Bathroom. This home also features a Full Finished Basement, an attached 1 Car Garage, and a yard that you can enjoy with your whole family! Just a short distance away from Roy Wilkins Park, Baisley Pond Park, Rochdale Village Shopping Center, and the Q5, Q84, and Q85 Bus Lines.""",https://www.redfin.com/NY/Jamaica/171-19-119th-Rd-11434/home/20707481
245,"""23 Peacock Loop""","""$499,900""","""3Beds""","""3Baths""","""$498,211""","""Staten Island,NY""","""Multi-Family (2-4 Unit)""","""1,684""","""3""","""38""","""54""","""37""","""Public Remarks: GORGEOUS AND SPACIOUS, 1-FAMILY, 3-BEDROOM, 2.5 BATH, MULTI-LEVEL, TOWN HOME WITH A FINISHED BASEMENT FAMILY ROOM, BUILT-IN GARAGE, AND A PRIVATE YARD WITH DECK. THIS BEAUTIFUL AND YOUNG, WELL-KEPT HOUSE IS IN EXCELLENT MOVE-IN CONDITION AND FEATURES A GREAT LAY OUT WITH BIG ROOMS, HIGH CEILINGS, HARDWOOD FLOORS, LARGE  EAT IN KITCHEN WITH STAINLESS STEEL APPLIANCES AND GRANITE COUNTER TOPS, MASTER BEDROOM WITH PRIVATE 3/4 BATH, AND MORE! SITUATED IN A PRIVATE DEVELOPMENT AND CONVENIENTLY LOCATED NEXT TO HIGHWAY, CLOSE TO PARKS, SCHOOLS, SHOPPING, AND TRANSPORTATION. LEVEL1: ENTRY FOYER, GARAGE. LEVEL 2: LIVING ROOM, DINING ROOM COMBO, 1/2 BATH. STEPS DOWN TO HUGE KITCHEN W/ ACCES LEVEL3: MASTER BEDROOM WITH 3/4 BATH, BEDROOM 2, BEDROOM 3. BSMNT: FINISHED FAMILY ROOM, UTILTIES, LAUNDRY.""",https://www.redfin.com/NY/Staten-Island/23-Peacock-Loop-10309/home/56092336
246,"""61-34 161 St""","""$988,000""","""4Beds""","""3Baths""","""$977,624""","""Fresh Meadows,NY""","""Multi-Family (2-4 Unit)""","""1,764""","""2.5""","""83""","""68""","""67""","""Stunning 2 family colonial in prime location in fresh meadows - Hardwood floors - 2 zone heating - Separate hot water - Near public trans - Shops/restaurants in walking distance - Detached garage - Full finished basement with ose""",https://www.redfin.com/NY/Flushing/61-34-161-St-11365/home/20824697
247,"""127 El Camino""","""$769,000""","""3Beds""","""4Baths""","""$763,397""","""Staten Island,NY""","""Townhouse""","""1,726""","""2""","""31""","""42""","""53""","""Public Remarks: Absolutely beautiful 2 family semi colonial in desirable Maguire Woods has 3 beds/3 baths in the main house  &  is loaded with upgrades - hardwood floors, high ceilings, recessed lighting  &  crown moldings throughout. House features hot water baseboard heat, gourmet custom eat-in-kitchen with granite counters and stainless steel appliances, custom tiled bathrooms, family room with gas fireplace, pavered backyard with PVC fencing. Basement features laundry, utilities  &  large studio apartment with full bathroom. House has a built-in garage and is located in a private location of the community next to a grassy area!! The development has an inground pool, clubhouse and tennis courts!""",https://www.redfin.com/NY/Staten-Island/127-El-Camino-Loop-10309/home/56075372
248,"""56-29 Van Doren St""","""$1,089,000""","""6Beds""","""2Baths""","""$1,050,491""","""Corona,NY""","""Multi-Family (2-4 Unit)""","""2,328""","""2""","""91""","""74""","""71""","""Excellent 2 family home in Corona, located close to the LIE, and GCP. The first floor apartment features an extra room that can be use as a home office or a family room. Enjoy a morning coffee on the large second floor terrace right off the kitchen. No need to look for parking this home comes with a 2 car garage and plenty of room to park another car on the cemented back yard. Don't miss out on this home. Call today for a private showing !""",https://www.redfin.com/NY/Flushing/56-29-Van-Doren-St-11368/home/20917905
249,"""Unit at 634 Washington St""","""$1,659,000""","""3Beds""","""1.5Baths""",NA,"""New York,NY""","""Condo/Co-op""",NA,—,"""99""","""100""","""89""","""Welcome home to Apartment 4B, a palatial, light flooded apartment possessing 3 bedrooms, 1.5 bathrooms, a loft space, and too many closets to possibly fill. Encompassing the 4th and 5th floors of this 5-story building, this duplex located in the incomparable West Village perfectly blends city living and suburban space perfectly. Enter the unit foyer, past one of eight oversized closets, and make a right into the living room boasting ceilings two full stories high lined with windows lettings in the perfect southeastern light. Another right and youve landed right into the proper dining room with space to comfortably host any dinner party and your galley kitchen with space for a washer/dryer and a wall that can be taken down for an open concept. Back around the corner and straight on, youll move past your half bath right into the first of the three king sized bedrooms equipped like its siblings with more than generous closet space and natural light. Heading up the switchback staircase reminds you, yet again, how elevated your ceilings actually are. This is seemingly the perfect place to hang the oversized art you simply couldnt leave the gallery without. Now onto your second floor, which we know is a rare luxury on our dense but glorious island. To the left you find your windowed loft space overlooking the living room capable of hosting an office, exercise space, reading nook, and more. Straight on youll go by the full bathroom and into the smallest of the three king sized bedrooms. Exactly opposite this room and down the hall lies the largest of the three bedrooms with a wall of closets and looking out on the stunning landmarked Archive Building. The well maintained and financially sound West Village Houses is comprised of 420 units featuring beautifully landscaped community gardens, a live-in super, laundry, bike room, video intercom, private security and notably low maintenance. Find all of this one block from the tranquil Hudson River Waterfront, its bicycle and jogging paths, the MTA and PATH, and all of the world-class restaurants, shopping, and charisma the West Village is famous for. Schedule your appointment to view this dream home today! This unit is not subject to sale restrictions.""",https://www.redfin.com/NY/New-York/634-Washington-St-10014/home/45143533
250,"""Unit at 175 W 12th St""","""$825,000""",NA,"""1Bath""",NA,"""New York,NY""","""Condo/Co-op""","""492""","""19""","""99""","""100""","""90""","""New to MarketSpacious renovated alcove studio in full service doorman building. South exposure. Hardwood floors. Building feature a fantastic full time staff includes a 24 hour doorman, live-in super  &  laundry room. 175 West 12th Street is conveniently located on the Northeast Corner of 12th street and 7th avenue. Commuting is made easy with direct access to the 1,2,3 trains outside the building's front door. Wonderful restaurants, shopping and parks nearby.""",https://www.redfin.com/NY/New-York/175-W-12th-St-10011/home/45246114
251,"""Unit at 41 Fifth Ave""","""$1,750,000""","""2Beds""","""1.5Baths""",NA,"""New York,NY""","""Condo/Co-op""",NA,—,"""99""","""100""","""94""","""SUN-FILLED CORNER PREWAR 2-BEDROOM CO-OP ON GOLD COAST  In the heart of Greenwich Village, this stunning, high floor 2-Bedroom, 1.5-Bath offers a gracious layout with tremendous light from three exposures and 9-foot ceilings. As you enter through the foyer, you are led into the sun-filled corner living room facing East and South with custom built-ins and hardwood floors. The windowed kitchen allows for a breakfast table with ample counterspace and an adjacent powder room. The renovated and light filled galley kitchen features top-of-the-line appliances including a Sub-Zero refrigerator and a GE oven, microwave, and dishwasher. The spacious, corner primary bedroom boasts exposures North and East, as well as two large closets. The windowed full bath is shared with the second bedroom, which currently serves as a library or home office with custom cabinetry and additional closet space. This extraordinary home offers chic downtown living in one of the most prestigious buildings. Designed in 1929 by renowned architect Rosario Candela, 41 Fifth Avenue is one of the most sought-after buildings Greenwich Village. Amenities include a 24-hour elevator operator/concierge, part-time doorman, live-in super, planted rooftop deck, storage, laundry room and a bicycle room. The building is pet friendly and allows subleases with board approval. Located near Washington Square Park and Union Square, 41 Fifth Avenue is walking distance to subway lines and some of the best restaurants and attractions of New York City.""",https://www.redfin.com/NY/New-York/41-5th-Ave-10003/home/45142318
252,"""163-36 17th Ave Unit 4-304""","""$368,000""","""2Beds""","""1Bath""","""$363,821""","""Whitestone,NY""","""Condo/Co-op""",NA,—,"""69""","""44""","""61""","""Rare For Sale Excellent Condition Upper Two BedroomSize 5,(Square Footage 800) Clearview Gardens In The Most Desirable Parklike Courtyard,Washer & Dryer In The Unit And Updated Electric Circuit Breakers,Updated Open Concept Eat In Kitchen,Stainless Steel Appliances,LivingRoom/DiningArea,Updated Bathroom,Several Closets,Private Finished Attic For Storage,New Flooring Throughout,Free Public Basement Storage,Parking Spot &Garage Available,Walk To Whitestone District 25 Schools,Shopping,Dining,Parks,NYC Local&Express Bus,Beach Rights""",https://www.redfin.com/NY/Whitestone/163-36-17th-Ave-11357/unit-4-304/home/20633478
253,"""1767 Hendrickson St""","""$799,000""","""3Beds""","""2Baths""","""$769,962""","""Brooklyn,NY""","""Single Family Residential""","""1,200""","""2""","""91""","""81""","""53""","""Introducing the hidden gem, one of the most gorgeous one family homes in Marine Park.   The lovely home is blossoming with exquisite and expensive details, such as new hardwood floors and staircases, commercial grade kitchen with top tier granite countertops. House is newly renovated top to bottom with new gas boiler and water heater.  Three spacious bedroom and finished basement with parking.  Close to all, especially one of the most spacious outdoor spaces and sport fields in Marine Park.  Asking price negotiable.  The house is 15.5x37 with the lot at 20x100. Tax is 5773 annually. Now that you have seen the rest, come see the best and make your best offer today!!""",https://www.redfin.com/NY/Brooklyn/1767-Hendrickson-St-11234/home/40882317
254,"""213 Bayview Ave W""","""$1,490,000""","""4Beds""","""4Baths""","""$1,435,233""","""Staten Island,NY""","""Townhouse""","""4,514""","""2.5""","""39""","""58""","""47""","""Public Remarks: This truly one of a kind two family 6000 square-foot home is located on a sprawling 30,000 square-foot lot in the well desired neighborhood of Princes's Bay. It boast a resort style backyard with an 18 x 36 in ground swimming pool, gazebo, panoramic views of lemon Creek, three car garage and everything you would want for both privacy and entertaining. This custom home offers all the amenities you would expect like radiant floor heating, central air conditioning, hardwired high speed Internet in every room, security system and the list goes on. A must see if you're looking for a safe place to live for you and your family.""",https://www.redfin.com/NY/Staten-Island/213-Bayview-Ave-10309/home/56092054
255,"""4-74 48th Ave Unit 31L""","""$749,000""","""3Beds""","""2Baths""",NA,"""Long Island City,NY""","""Condo/Co-op""",NA,—,"""96""","""100""","""81""","""Pictures coming soon.  During this time all open houses for 31L will be ""BY APPOINTMENT ONLY"" to manage social distancing. Kindly call / email / text to schedule your open house time.Welcome to LIC!!  We invite you to schedule a private viewing of the coveted high floor Citylights L Line. This home is a bright and sunny south facing 2-bedroom, 2-bath Condop with balcony, where you can enjoy breathtaking unobstructed Manhattan & East River views. This is one of only two buildings directly on the LIC waterfront with apartments available for purchase.  With approximately over 1150 square feet, this unit offers a spacious interior ideal for entertaining or enjoying quiet nights at home. Enjoy infamous NYC skyline sunsets while lounging on your private balcony perfect for entertaining friends and family. Oversized, double-insulated windows offer incredible views of the skyline, Midtown Manhattan, East River bridges to Long Island City & beyond.""",https://www.redfin.com/NY/Long-Island-City/4-74-48th-Ave-11109/unit-31L/home/173636412
256,"""92 Meagan Loop""","""$639,000""","""3Beds""","""4Baths""","""$589,052""","""Staten Island,NY""","""Single Family Residential""","""2,000""","""2""","""78""","""61""","""44""","""Public Remarks: Large Single family Sidehall Colonial, cheaper than a semi located in Tottenville. All large rooms 3 beds, 4 bathrooms, full finished basement with room for extended family, 2nd Kitchen and Full Bath in basement with addl. side entrance. Main unit features Large Living Room, Dining room, high hats in living room, Eat in Kitchen with granite counter tops, tiled backsplash and tile floors, and stainless steel appliances, refrigerator less than 2 years old. New anderson sliders to newer decked in pool. Pool and deck have been replaced in last 4 years. 2000+ square foot of living space cheaper than most semis. A lot of house for the money. Home needs some minor tlc and sprucing up. Chandeleir in dining room not staying. Come see this house today and make it your home tomorrow!!""",https://www.redfin.com/NY/Staten-Island/92-Meagan-Loop-10307/home/56105688
257,"""1233 41 St""","""$1,300,000""","""6Beds""","""3Baths""","""$1,256,748""","""Brooklyn,NY""","""Multi-Family (2-4 Unit)""","""2,352""","""3""","""95""","""91""","""71""","""Multi-Family Home For Sale.""",https://www.redfin.com/NY/Brooklyn/1233-41st-St-11218/home/40802943
258,"""444 W 51st St""","""$4,000,000""",NA,NA,NA,"""New York,NY""","""Single Family Residential""",NA,—,"""100""","""100""","""93""","""Introducing 444 West 51st Street ? a townhouse featuring 6 free-market units including 5 residences, an 810 SF backyard, and large commercial unit. Apartments include a loft-style 2-bedroom as well as four 1-bedrooms, and a flexible open commercial space. .  In addition to being free-market, all units are fully renovated and the building has a projected proforma of 4.5% with a prime location on a tree-lined West 51st Street block!   444 West 51st Street is built to 3,640 SF and enjoys an 18' x 45' backyard. The excellent location is within walking distance Central Park, Columbus Circle and its shops, the Theater District, Lincoln Center, and a range of dining and cultural hot spots as well as access to the 1 / 2 / 3 / 7 / B / C / D / E / N / R / W trains and Port Authority transit center.  444 West 51st is truly at the center of it all while providing a range of investment upside and options for both today and the future. This fast-growing neighborhood enjoys the type of close proximity to transportation, entertainment, lifestyle, and cultural destinations such as Central Park, Lincoln Center, and the Theater District that have it primed for continued appreciation.  Location. Convenience. Upside.  Property Details  Block: 1060 Lot: 53 Lot Dimensions 19' x 100' Zoning: R8 Usable Floor Area As Built: 3,640""",https://www.redfin.com/NY/New-York/444-W-51st-St-10019/home/173637488
259,"""Unit at 350 E 82nd St""","""$1,395,000""","""2Beds""","""2Baths""",NA,"""New York,NY""","""Condo/Co-op""","""1,130""","""18""","""100""","""100""","""84""","""Welcome into Residence 7H at the highly desired Wellington Condominium located on a quaint tree-lined street in the heart of the Upper East Side. This move-in ready home is comprised of 2 Bedrooms, 2 full Bathrooms and is perfectly proportioned with no wasted space. As you enter, you're immediately inspired by the grandeur of 10-ft. high ceilings which are sure to impress your most discerning guests and to also evoke the feeling of being in an even larger home. Oversized east-facing windows frame quintessential cityscape views including a historical nearby church and allow for natural light to flood the home all day long. The large living area can easily accommodate a sizable couch and seating arrangement and just off the entry foyer a corner nook is ideal for a dining table or cozy built-in banquette. The kitchen also has high ceilings and has been updated with sleek white lacquer cabinets and full-size stainless steel appliances making this a kitchen that's truly fit for running a household. A center hallway leads to the second bedroom with great closet space and high ceilings that also allow for you to maximize the space with bunk beds. Continue down the hall and you'll enter the master bedroom suite which is very generous in size and has outfitted closets including a walk-in and en-suite bathroom. There is also a closet with Bosch Washer  &  Dryer. Conveniently located on First Avenue and 82nd Street, Wellington Tower was converted in 2006 and is a full-service condominium offering 24-hour doorman/concierge service, fitness center with Peloton, swimming pool, children's playroom, residents lounge, party room, sauna/steam rooms and parking garage. Nearby is Carl Schurz Park, PS 290 and local dining and shopping destinations include Antonucci Cafe, Toloache, Uva, Eli's Market, Whole Foods and Agatha  &  Valentina. The Q, 4, 5, 6 trains are also easily accessible. If you're looking for the perfect Upper East Side lifestyle you have found your home!""",https://www.redfin.com/NY/New-York/350-E-82nd-St-10028/home/45192806
260,"""Unit at 567 Ocean Ave""","""$525,000""","""1Bed""","""1Bath""",NA,"""Brooklyn,NY""","""Condo/Co-op""",NA,—,"""97""","""100""","""86""","""Healthy living in Prospect Park South. WE'RE COMMITTED TO PROVIDING A SPACE FOR HEALTHY LIVING, WORK AND LEISURE, CONTACT US TO LEARN MORE ON HOW WE'RE DOING THIS AT 567 OCEAN. Open House this Saturday  &  Sunday 10:00 am - 2:00 pm, and Wednesday 11:00 am - 1:00 pm by appointment only. Prior registration required. Email us to register. Welcome to residence B201 in 567 Ocean Avenue. The latest condominium offering in Prospect Park South, within close proximity to Brooklyn's largest green space along with an impeccable amenities package and numerous layouts to select from. Checking all of the boxes, this one bedroom has it all - abundant closet space, a sizable bedroom, large chef's kitchen  &  private outdoor space. Triple pane, floor- to-ceiling tilt and turn windows allow for plenty of sun and air throughout this spacious layout. The open kitchen boasts European design custom-made cabinets with Blum soft close hardware, natural marble stone countertops and backsplash, a Bosch appliance package, and a custom 567 Ocean logo kitchen faucet. It is also designed perfectly with more than enough room to easily set up both a living and dining room for entertaining or at-home comfort. The bathroom is warm and inviting, with natural stone and a Duravit deep soaking tub, heated floors and Grohe fixtures. With white oak hardwood flooring throughout, individual zoned heating/cooling and a washer and dryer hook-up, this residence provides you with all the necessities you have come to expect from a premiere new development condominium. The design is timeless and elegant and you can be sure these homes will not fall out of style. Take advantage of being one of the first to purchase here, getting to select your top choice from all of the different layouts. Residence Features:Natural Marble Stone Countertops  &  BacksplashBosch Appliance Package8"" Wide Plank White Oak Hardwood FlooringFloor-to-Ceiling Triple-Pane WindowsIndividual Controlled Energy Saver Heating  &  CoolingEuropean designed custom cabinetry w/ Blum soft-close hardwareWasher  &  Dryer Hook-UpHeated Bathroom FloorsGrohe Fixtures in BathroomsDuravit deep-soaking tubCustom made 567 Ocean Logo Kitchen FixturesSolid-Core DoorsSmart-Lock Door HardwareUSB Outlets  Building Amenities:Furnished  &  Landscaped Roof DeckFurnished  &  Landscaped CourtyardFitness CenterParty RoomKids PlayroomLoungeDeeded ParkingPersonal StorageBicycle StorageCarson 24/7 Virtual DoormanPackage Room  Pet SpaThe Building and Neighborhood:Among the picturesque streets and historic homes of Prospect Park South, 108 brand new homes surround a shared courtyard, emerging as an elevated addition to the creative culture of the neighborhood. 567 Ocean Avenue sits a few short blocks from Prospect Park, granting residents access to Brooklyn's largest green space and the charms of its surrounding community. Embracing elegant living through sublime amenities and luxurious interior finishes in studio to three-bedroom, and even duplex townhouse residences, anyone seeking an inspiring new home in Brooklyn can find new levels of sophistication inside and out of 567 Ocean. Subject to availability and fees. Equal Housing Opportunity. This advertisement is not an offering. All dimensions and square footages are approximate and subject to construction variances and may vary from floor to floor. Images are renderings and may not be reflective of the layout of the subject residence in this advertisement. Sponsor reserves the right to make changes in accordance with the offering plan. The complete offering terms are in an offering plan available from the Sponsor. File No. CD19-0105. Sponsor: North Ocean Management LLC, c/o North Ocean Development LLC, 4918 3rd Avenue, Brooklyn, NY 11220.""",https://www.redfin.com/NY/Brooklyn/567-Ocean-Ave-11226/home/173637480
261,"""Unit at 250 E 54th St""","""$650,000""",NA,"""1Bath""",NA,"""New York,NY""","""Condo/Co-op""","""391""","""43""","""100""","""100""","""80""","""Welcome to Residence #26E at The Mondrian, a luxury condominium. Located on the 26th floor, this is the highest floor with a Studio apartment in the building. This sky-high apartment features floor to ceiling windows, water views, and as a result a surplus of light. Entering into the kitchen, to the North is a coat closet as well as the full marble bathroom equipped with a Jacuzzi. While to the South is the deluxe kitchen which includes a full sized dishwasher. Further on East, past the entryway is the massive living and rest space. The glass wall displays a beautiful view of Eastern New York City. The Mondrian is a 43-story, 178-unit condominium tower which opened in early 1992. The building was developed by Charles B. Benenson, Laurence A. Tisch and Preston R. Tisch and offers 24 hour premium services including an on-site building manager, as well as full-time concierge and doorman. An Equinox fitness club with a pool is located in the building and residents have access through the main lobby. The building also has a wrap-around sun terrace on the 5th floor and laundry services in the basement. The Mondrian, in the heart of Midtown East, is surrounded by restaurants, bars, cafes, and shops, and is a ten minute walk from Rockefeller Center and Central Park. Nearby subway lines include the E/M/N/R/W. Pets are welcome.""",https://www.redfin.com/NY/New-York/250-E-54th-St-10022/home/45280135
